Cruise,segnum,stlin,endlin,lat1,lon1,lat2,lon2
2021,97,14996,15009,11.55933,145.5185,11.58117,145.54216
2021,98,15012,15018,11.5875,145.5485,11.59284,145.55349
2021,99,15022,15383,11.60667,145.56767,12.64833,146.617
2021,100,15399,15409,12.6865,146.65817,12.7055,146.678
2021,101,15412,15441,12.44783,147.58767,12.50367,147.64515
2021,102,15472,15601,12.53517,147.6695,12.88867,148.03899
2021,103,15649,15745,12.9245,148.0305,13.1705,148.32899
2021,104,15749,15877,13.18,148.33883,13.55167,148.72249
2021,105,15886,15944,13.57883,148.75117,13.69484,148.87065
2021,106,15953,16250,13.87367,147.871,14.63284,148.65948
2021,107,16273,16468,14.66617,148.69733,15.28484,149.25299
2021,108,16480,16499,16.4445,148.2805,16.41633,148.22218
2021,109,16512,16538,16.36583,148.08133,16.29717,148.00867
2021,110,16541,16660,16.24533,147.95533,15.938,147.63334
2021,111,16662,16881,15.9235,147.61833,15.26167,146.93234
2021,112,16893,16906,15.25933,146.8495,15.2455,146.84185
2021,113,16910,16946,15.21783,146.82267,15.094,146.7555
2021,114,16950,16985,15.04533,147.8985,15.12383,147.98116
2021,115,17024,17161,15.1845,147.97733,15.50583,148.40215
2021,116,17163,17169,15.51433,148.4125,15.5175,148.41648
2021,117,17171,17272,15.52717,148.428,15.81084,148.69465
2021,118,17278,17353,15.8485,148.7025,16.01417,148.9085
2021,119,17354,17413,16.0135,148.91383,15.866,149.00433
2021,120,17419,17433,15.8555,149.02033,15.81483,149.03566
2021,121,17440,17543,16.76233,149.10517,17.14733,149.05617
2021,122,17558,17608,17.19267,149.05117,17.099,148.86534
2021,123,17615,17801,17.063,148.83667,16.549,148.27301
2021,124,17803,17823,16.53683,148.26,16.4865,148.20834
2021,125,17825,17915,16.48133,148.20567,16.15083,148.06034
2021,126,17924,18153,14.53083,147.35217,13.846,146.66401
2021,127,18155,18192,13.8255,146.65417,13.74317,146.55784
2021,128,18197,18233,13.6955,146.5055,13.61533,146.42652
2021,129,18236,18277,13.5655,146.37667,13.4515,146.261
2021,130,18286,18393,13.3775,146.23167,13.09616,145.90102
2021,131,18399,18546,12.756,144.39,12.30967,143.94951
2021,132,18572,18771,12.28667,143.91983,11.703,143.34884
2021,133,18801,18813,11.64167,143.288,11.61033,143.25869
2021,134,18834,18860,12.2465,142.74817,12.30433,142.79233
2021,135,18864,18870,12.34217,142.83183,12.3475,142.83632
2021,136,18872,18903,12.36767,142.85467,12.42283,142.909
2021,137,18929,18981,12.44783,142.9935,12.60967,143.09265
2021,138,18993,19291,12.63417,143.11567,13.46167,143.93483
2021,139,19305,19362,13.7935,145.38017,13.88483,145.52916
2021,140,19368,19394,13.89917,145.54383,13.95884,145.60248
2021,141,19400,19557,13.97533,145.61917,14.40917,146.06033
2021,142,19618,19683,14.46183,146.11083,14.65067,146.30598
2021,143,19695,19802,14.69083,146.3435,15.00433,146.67283
2021,144,19846,19892,15.913,146.41883,16.04067,146.54766
2021,145,19894,19921,16.04267,146.54983,16.09084,146.59965
2021,146,19950,20366,16.107,146.61667,17.18317,147.73232
2021,147,20424,20497,17.45617,148.0415,17.62283,148.20033
2021,148,20509,20565,17.6555,148.23417,17.7815,148.36783
2021,149,20575,20651,17.80967,148.39867,17.99284,148.57833
2021,150,20670,20855,18.0585,148.61967,18.53783,149.17466
2021,151,20901,20931,18.55083,149.18133,18.61983,149.26366
2021,152,20955,20993,20.05533,148.65817,20.175,148.5995
