AnimalID,All,Fine,Broad,HI Fine,CNMI_HIArch,CNMI_Other,CNMI_NoHybrids,STRUCTURE_strata
133157,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133158,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133159,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133162,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133163,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133164,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133165,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133166,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133167,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133181,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133182,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133183,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133184,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133185,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133186,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133193,All,MHI,HIArch,Pelagic,HIArch,Ttru,,HIArch
143738,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
143752,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
159727,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
159745,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159770,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159771,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159772,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
159773,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159774,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159776,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159777,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159778,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
159780,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
159781,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
175294,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
185379,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
185380,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
185381,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
185382,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
197356,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
197366,All,CNMI,WPac,,CNMI,CNMI,CNMI,CNMI
197367,All,CNMI,WPac,,CNMI,CNMI,CNMI,CNMI
197368,All,CNMI,WPac,,CNMI,CNMI,CNMI,CNMI
197370,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
197396,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
